epoch,split,loss,lb,val_MSE,val_secMAE,val_secRMSE,router_entropy,router_max_share,target_key
1,train,0.6797267273068428,2.0967441532346935,,,,1.7604223671886656,0.2725502461608913,y_log_z
1,val,,,0.8135811973529046,230.99940354936734,296.813721383448296,,,y_log_z
2,train,0.6021862609518899,2.3531271715958915,,,,1.6772171788745456,0.3302095789048407,y_log_z
2,val,,,0.7846530380816855,230.8949669023952,289.045297417367578,,,y_log_z
3,train,0.5145769628385702,2.248554570807351,,,,1.5923529780573316,0.29644332143167657,y_log_z
3,val,,,0.6629375781771176,201.1058765203308,268.244423409994795,,,y_log_z
4,train,0.4442720040678978,2.153896043697993,,,,1.5587084392706554,0.24912458264993298,y_log_z
4,val,,,0.48872246639378886,146.87325635991056,201.770009366664766,,,y_log_z
5,train,0.35994316471947563,2.2172428965568542,,,,1.4348835514651403,0.26001027702457374,y_log_z
5,val,,,0.5249804569687979,149.82440416378384,203.010259395661507,,,y_log_z
6,train,0.3218491106397576,2.098690539598465,,,,1.4784458643860288,0.22821914321846432,y_log_z
6,val,,,0.6432100390978455,188.9938394053755,244.873220805131467,,,y_log_z
7,train,0.30352788356443244,2.0847146213054657,,,,1.4926850630177393,0.2280274441258775,y_log_z
7,val,,,0.7426008972343698,203.02894156339283,265.296154135496522,,,y_log_z
8,train,0.283378832663099,2.149153235885832,,,,1.4602464073234134,0.25031070473293465,y_log_z
8,val,,,0.7647215396784733,193.69830684705727,258.177374119691990,,,y_log_z
9,train,0.2714492068108585,2.082546571890513,,,,1.481006407075458,0.24304192761580148,y_log_z
9,val,,,0.803358217716725,210.32674028801978,276.937798009868231,,,y_log_z
10,train,0.261598131308953,2.079336679644055,,,,1.4810513406991959,0.2330981410211987,y_log_z
10,val,,,1.059001881554946,284.2377544364759,347.290792205685534,,,y_log_z
11,train,0.2584515954885218,2.078571081161499,,,,1.4706756754053965,0.2314364800436629,y_log_z
11,val,,,1.1834279404230192,330.3834133157118,386.452496402181453,,,y_log_z
12,train,0.2657335578567452,2.0583833158016205,,,,1.52224377128813,0.2267769722061025,y_log_z
