epoch,split,loss,lb,val_MSE,val_secMAE,val_secRMSE,router_entropy,router_max_share,target_key
1,train,0.5067217089235783,2.0626531177096896,,,,1.7589547981818516,0.2549815351764361,y_log_z
1,val,,,0.3060487164929038,143.8021595358838,215.637987731335926,,,y_log_z
2,train,0.34086952524052727,2.038073029783037,,,,1.7562934176789389,0.2339911808570226,y_log_z
2,val,,,0.24285872464802094,127.5316076448343,196.001352250459291,,,y_log_z
3,train,0.2986012560625871,2.094472971227434,,,,1.7452912247843213,0.2651351725475656,y_log_z
3,val,,,0.19415115244396816,126.53676361018059,182.975800678902004,,,y_log_z
4,train,0.2534103797127803,2.0435859031147428,,,,1.737112272116873,0.23097877576947212,y_log_z
4,val,,,0.15726133938604897,99.12119125945112,156.169139556322307,,,y_log_z
5,train,0.2300595034741693,2.044870310359531,,,,1.72562747531467,0.22817462123930454,y_log_z
5,val,,,0.1454149545725585,87.3945889293194,143.863353344162931,,,y_log_z
6,train,0.21310783094829983,2.032185150517358,,,,1.7309447477261226,0.22075943938559955,y_log_z
6,val,,,0.1392181841066811,83.3773415295455,139.964504942797333,,,y_log_z
7,train,0.2052756210582124,2.051156302293142,,,,1.7258689122067556,0.23117412626743317,y_log_z
7,val,,,0.1605131747130715,80.21869335118926,135.887118186169943,,,y_log_z
8,train,0.1993324582775434,2.0563767751057944,,,,1.7306774225499895,0.240840096026659,y_log_z
8,val,,,0.2482830280093781,90.31041007011503,148.293181668454054,,,y_log_z
9,train,0.1916748740606838,2.0585260656144886,,,,1.7284204347266092,0.2398179243836138,y_log_z
9,val,,,0.339708014479506,99.5235416494267,160.620537202585581,,,y_log_z
10,train,0.18313820391065544,2.0239341225888996,,,,1.7316064420673583,0.22057813219726086,y_log_z
10,val,,,0.4478829073610565,104.99442174970571,166.237218898315064,,,y_log_z
11,train,0.17631257904900444,2.0486059619320764,,,,1.7171498537063599,0.23150862029029262,y_log_z
11,val,,,0.5175632961736184,114.6659177169559,171.697216433846421,,,y_log_z
12,train,0.16883653060843548,2.027746594614453,,,,1.7219887408945296,0.22509272168907854,y_log_z
12,val,,,0.32132889358883726,113.02460621347721,165.832644907073075,,,y_log_z
13,train,0.16634118660456604,2.035942862431208,,,,1.7182962248722713,0.22959100951751074,y_log_z
