epoch,split,bin,mae_s,rmse_s,acc_at_tau_pct,tau_s,n
1,val,0,198.6595102145375,214.0773561706511,0.0,30.0,33227
1,val,1,112.72477048437231,139.35749866284138,38.15864670248028,60.0,34996
1,val,2,514.2114350535637,556.28138135203,0.0,120.0,32228
2,val,0,212.81471784641442,227.27432504917206,0.0,30.0,33227
2,val,1,104.72910190852168,129.43965160933766,37.92719167904903,60.0,34996
2,val,2,500.0562005234191,543.2235123022423,0.0,120.0,32228
3,val,0,233.60418091132587,246.84899614298777,0.0,30.0,33227
3,val,1,95.25274700758212,116.47218430397463,37.63572979769116,60.0,34996
3,val,2,479.2667515558094,524.1490236158304,0.0,120.0,32228
4,val,0,249.9089055610836,262.33179487764323,0.0,30.0,33227
4,val,1,89.77189148765439,108.02606904636815,37.31283575265745,60.0,34996
4,val,2,462.9620549047024,509.28325346890205,0.0,120.0,32228
5,val,0,262.1737604383765,274.0412281384969,0.0,30.0,33227
5,val,1,86.64413236233695,102.9257289710452,36.97851182992342,60.0,34996
5,val,2,450.69717084134913,498.1601363894208,0.0,120.0,32228
6,val,0,269.74962429956247,281.2976629155778,0.0,30.0,33227
6,val,1,85.19384348445625,100.39636098960813,36.63275802948908,60.0,34996
6,val,2,443.1213060435607,491.316668261777,0.0,120.0,32228
7,val,0,274.4444493559455,285.802851996736,0.0,30.0,33227
7,val,1,84.47139299178835,99.08752054957196,36.53846153846153,60.0,34996
7,val,2,438.4264841277383,487.08660358549565,0.0,120.0,32228
8,val,0,277.65459639492167,288.886809378238,0.0,30.0,33227
8,val,1,84.05576442274206,98.31168643757621,36.58703851868785,60.0,34996
8,val,2,435.21632925949484,484.19917211543685,0.0,120.0,32228
9,val,0,279.69432359343494,290.8477810897477,0.0,30.0,33227
9,val,1,83.82032101799358,97.87024455629695,36.57275117156246,60.0,34996
9,val,2,433.1766055465647,482.36661439794847,0.0,120.0,32228
10,val,0,280.9901023228944,292.0940827896215,0.0,30.0,33227
10,val,1,83.6809482118827,97.6109144630923,36.592753457538,60.0,34996
10,val,2,431.88082037673956,481.20331030999284,0.0,120.0,32228
11,val,0,281.6591126180798,292.7377145351122,0.0,30.0,33227
11,val,1,83.61173945828185,97.4834954990666,36.60418333523831,60.0,34996
11,val,2,431.211818066782,480.6029685409373,0.0,120.0,32228
12,val,0,282.0333146036638,293.0977765749167,0.0,30.0,33227
12,val,1,83.57416407020177,97.41415534175188,36.60418333523831,60.0,34996
12,val,2,430.8376150918359,480.2672425059584,0.0,120.0,32228
13,val,0,282.17719996515444,293.2362364917576,0.0,30.0,33227
13,val,1,83.5597167996655,97.38786205007403,36.60418333523831,60.0,34996
13,val,2,430.69373041905527,480.1381805560797,0.0,120.0,32228
14,val,0,282.2044258587237,293.2624292877581,0.0,30.0,33227
14,val,1,83.5569832004238,97.38291148506751,36.60418333523831,60.0,34996
14,val,2,430.6665124513234,480.11376062811473,0.0,120.0,32228
15,val,0,282.20244634093694,293.2605258989029,0.0,30.0,33227
15,val,1,83.55718131876903,97.3832711836184,36.60418333523831,60.0,34996
15,val,2,430.6684822422466,480.1155304698669,0.0,120.0,32228
16,val,0,282.1960328643686,293.25435988916666,0.0,30.0,33227
16,val,1,83.55782657247882,97.38443614757884,36.60418333523831,60.0,34996
16,val,2,430.6748881080214,480.1212806332552,0.0,120.0,32228
17,val,0,282.1373838012008,293.1979135972073,0.0,30.0,33227
17,val,1,83.56371384547742,97.39511891267624,36.60418333523831,60.0,34996
17,val,2,430.73354637029524,480.1738942699448,0.0,120.0,32228
18,val,0,282.0631230813796,293.1264665293158,0.0,30.0,33227
18,val,1,83.57116965013635,97.40869067814646,36.60418333523831,60.0,34996
18,val,2,430.80778154380505,480.2404911413,0.0,120.0,32228
19,val,0,282.0042858887821,293.0698480615818,0.0,30.0,33227
19,val,1,83.57707765653129,97.41948337571829,36.60418333523831,60.0,34996
19,val,2,430.86662458571544,480.29327427418735,0.0,120.0,32228
20,val,0,281.9538761069687,293.02133637996525,0.0,30.0,33227
20,val,1,83.58214056076275,97.42875973578917,36.60418333523831,60.0,34996
20,val,2,430.9170506394381,480.3385034838764,0.0,120.0,32228
