epoch,split,bin,mae_s,rmse_s,acc_at_tau_pct,tau_s,n
1,val,0,69.24074411875837,95.81250906818835,31.925843440575434,30.0,33227
1,val,1,132.9855610870037,164.02036725432234,27.251685906960795,60.0,34996
1,val,2,232.42043624599532,325.970079756282,35.40399652476108,120.0,32228
2,val,0,63.62304138629964,85.93331994405825,35.52231618864177,30.0,33227
2,val,1,102.51013931447076,130.1938601199163,36.827065950394335,60.0,34996
2,val,2,220.5917156361995,306.137584074378,34.23730917214844,120.0,32228
3,val,0,71.47382402059837,105.93112538807888,36.51247479459476,30.0,33227
3,val,1,138.77602923034954,170.74252229270962,25.505772088238654,60.0,34996
3,val,2,170.0160673742068,247.24004892897588,46.59302469901949,120.0,32228
4,val,0,58.03203325664534,78.48462440109174,38.023294308845216,30.0,33227
4,val,1,92.28357515412476,116.63946374809535,39.57309406789347,60.0,34996
4,val,2,148.90891423721948,234.29272046710315,56.31128211493112,120.0,32228
5,val,0,53.804829735959274,71.76558915516966,39.16694254672405,30.0,33227
5,val,1,78.09421474340371,100.94931789681611,47.92833466681907,60.0,34996
5,val,2,132.12472599707067,219.39271739839617,63.31140623060693,120.0,32228
6,val,0,47.91793921976339,62.997641625492165,42.41129202154874,30.0,33227
6,val,1,73.86526336826887,93.84210858867104,48.59698251228712,60.0,34996
6,val,2,130.2649646052152,217.72819224640529,64.73563361052501,120.0,32228
7,val,0,46.59293418955687,61.35240818404598,43.56998826255756,30.0,33227
7,val,1,74.85312820628161,96.2011095479395,49.04560521202423,60.0,34996
7,val,2,120.71318336951758,208.8634633159528,68.74146704728807,120.0,32228
8,val,0,58.09661020070039,73.7901963919433,34.55924398832275,30.0,33227
8,val,1,87.09232261867874,111.48542773960487,42.98777003086067,60.0,34996
8,val,2,127.01725477578697,222.33476293389126,67.04418518058831,120.0,32228
9,val,0,65.18791384212905,81.64431954267756,30.472206338218914,30.0,33227
9,val,1,95.93061536134263,121.55114872916428,38.550120013715855,60.0,34996
9,val,2,138.82501680531098,239.78393476465897,63.19039344669232,120.0,32228
10,val,0,73.02316371157586,90.44911656518751,27.12553044211033,30.0,33227
10,val,1,107.95392072431045,135.87728685336216,34.25248599839982,60.0,34996
10,val,2,134.74303542429865,240.10740342630604,65.74097058458483,120.0,32228
11,val,0,78.79566096854826,96.81248371155527,24.937550787010565,30.0,33227
11,val,1,127.08479917236077,153.6122617846061,25.78580409189622,60.0,34996
11,val,2,138.16255873374377,237.90544080100787,63.27106863596872,120.0,32228
12,val,0,63.92975969073767,82.24145211281255,33.69247900803563,30.0,33227
12,val,1,120.34961344912632,147.05451455726077,28.85758372385415,60.0,34996
12,val,2,155.68714868233755,235.0747513340856,50.955690703735876,120.0,32228
13,val,0,52.3542650493551,70.16265539891148,42.23974478586692,30.0,33227
13,val,1,92.17474499875878,117.77329565318351,41.24757115098868,60.0,34996
13,val,2,114.20389572319684,203.6945012055794,72.31910140250713,120.0,32228
14,val,0,42.81613410010355,59.4729072167008,48.62009811298041,30.0,33227
14,val,1,73.35301000778438,95.54902467293408,50.36004114755972,60.0,34996
14,val,2,107.8417680581036,192.02816070385245,73.93570807993049,120.0,32228
15,val,0,47.98381234575797,64.51271522431806,41.41210461371776,30.0,33227
15,val,1,84.62217776060568,109.59419845709272,44.26220139444508,60.0,34996
15,val,2,112.85186951660823,186.27111222437506,69.00521285838401,120.0,32228
16,val,0,49.36149893600037,64.4925181130126,40.09088993890511,30.0,33227
16,val,1,76.49870509754686,97.88724835289695,47.66259001028689,60.0,34996
16,val,2,112.17211343633399,190.76546472718894,70.73972942782673,120.0,32228
17,val,0,63.77881298764935,80.0162300350697,30.023775844945376,30.0,33227
17,val,1,89.78562688832965,112.37786967794649,39.92170533775289,60.0,34996
17,val,2,119.8426314135321,195.0259380086067,66.41429812585329,120.0,32228
18,val,0,75.05466673551912,91.1825552747906,22.82481114756072,30.0,33227
18,val,1,100.97020256556107,126.27784737303051,35.39833123785576,60.0,34996
18,val,2,128.51995554168008,210.11038525624997,63.56584336601713,120.0,32228
19,val,0,78.91475351782341,97.72028208912536,24.72386914256478,30.0,33227
19,val,1,110.79567019573442,141.7229100879575,34.603954737684305,60.0,34996
19,val,2,150.84354147899828,238.25364396946676,54.29440238302098,120.0,32228
20,val,0,88.81075541622306,109.7575015738116,22.996358383242544,30.0,33227
20,val,1,148.3775337926455,184.66949272053122,27.320265173162646,60.0,34996
20,val,2,161.34350801079418,274.24858457858534,60.19610276777957,120.0,32228
21,val,0,90.1960172505958,111.01236426444225,23.00237758449454,30.0,33227
21,val,1,198.976015967115,228.79213304414844,14.141616184706823,60.0,34996
21,val,2,233.9289330412292,336.5584954975542,39.453270448057594,120.0,32228
22,val,0,81.00618320097361,102.1197742146752,26.56273512504891,30.0,33227
22,val,1,169.76092234201766,201.76287516338166,19.579380500628645,60.0,34996
22,val,2,195.14292182936566,289.56103351569647,44.50167556162343,120.0,32228
23,val,0,71.40592551641102,93.07143088472029,31.131308875312246,30.0,33227
23,val,1,110.86329044468921,142.1629436180442,35.02400274317065,60.0,34996
23,val,2,123.13490980038709,203.5521901769612,65.75027926027057,120.0,32228
24,val,0,66.91983666421274,91.02376301755632,34.48099437204683,30.0,33227
24,val,1,123.66647413164183,155.2579062865912,30.594925134301064,60.0,34996
24,val,2,189.34288675820278,241.5093664925899,32.763435521906416,120.0,32228
25,val,0,80.58324205215614,114.44214269505558,31.98302585246938,30.0,33227
25,val,1,123.96102454259281,153.58057431303192,29.19476511601326,60.0,34996
25,val,2,119.93949001729378,184.0590264074974,62.898721608539155,120.0,32228
26,val,0,95.55042297085907,138.3586914435393,31.633912179853734,30.0,33227
26,val,1,135.42793349792433,168.20156699731353,27.457423705566352,60.0,34996
26,val,2,115.84989915752848,177.1549880393414,64.32605188035248,120.0,32228
27,val,0,74.87911424749639,103.15726088673888,32.100400276883256,30.0,33227
27,val,1,103.51010338681563,127.82285127908037,34.40964681677906,60.0,34996
27,val,2,118.01820580912269,191.114945408182,66.71838153158744,120.0,32228
28,val,0,68.50259459021936,87.78964051155816,29.268366087820148,30.0,33227
28,val,1,91.1818643043022,112.5467049812094,37.987198536975654,60.0,34996
28,val,2,122.52837095418047,204.3580843117986,66.60357453146332,120.0,32228
29,val,0,62.63294106196815,81.74128378772164,33.99644867126133,30.0,33227
29,val,1,101.88818770275755,128.60126400627595,36.435592639158756,60.0,34996
29,val,2,152.84615733201235,243.10256481715857,54.42782673451657,120.0,32228
30,val,0,73.48704347826597,93.71530099170167,27.808709784211633,30.0,33227
30,val,1,116.24948799952138,151.4288267614334,35.675505772088236,60.0,34996
30,val,2,142.75179876067347,243.99682817253023,61.018369120019855,120.0,32228
31,val,0,85.7346468633378,106.2769976601014,23.854094561651667,30.0,33227
31,val,1,137.2477236237713,175.20545547174308,30.83781003543262,60.0,34996
31,val,2,144.81247724343933,248.20330895242884,60.58706714658061,120.0,32228
32,val,0,89.80255445290398,110.00034566747878,22.662292713756884,30.0,33227
32,val,1,143.4782696845041,177.34703464044185,26.220139444507947,60.0,34996
32,val,2,127.90077665323534,234.56826252467488,68.72905547970709,120.0,32228
33,val,0,78.68379210369555,99.0899403144605,26.788455171998677,30.0,33227
33,val,1,141.90678087819413,171.8567206766827,23.871299577094526,60.0,34996
33,val,2,142.32028359219856,217.84901604125656,55.157006329899474,120.0,32228
34,val,0,67.54682821746293,88.5788450945981,33.8218918349535,30.0,33227
34,val,1,120.39974899196069,148.4259989889698,29.77483140930392,60.0,34996
34,val,2,131.6626319047223,202.21314875511456,58.79359563112821,120.0,32228
35,val,0,55.04332543102536,73.40406996925269,38.369398380834866,30.0,33227
35,val,1,92.85968715900121,117.36131066788903,39.45593782146531,60.0,34996
35,val,2,143.5153985025274,207.2844445129315,52.71192751644532,120.0,32228
36,val,0,41.959185513457854,59.721696768113816,48.84280855930418,30.0,33227
36,val,1,72.0508174287999,93.11586701035151,50.354326208709566,60.0,34996
36,val,2,127.30927019709908,199.08708945850609,61.614124363907166,120.0,32228
37,val,0,37.833544525836245,53.35929412002016,52.42423330424053,30.0,33227
37,val,1,69.20580341715393,88.42644710727782,51.72305406332153,60.0,34996
37,val,2,120.42555766906398,197.99357942440963,66.00161350378553,120.0,32228
38,val,0,41.138380224419805,55.01646823229704,47.94895717338309,30.0,33227
38,val,1,76.32411084843848,97.08183752752268,48.28837581437879,60.0,34996
38,val,2,122.71368498350618,201.7195395158983,65.84336601712796,120.0,32228
39,val,0,51.86211763082828,68.21928742912047,40.12700514641707,30.0,33227
39,val,1,88.34071914301367,113.30123846348086,43.86501314435935,60.0,34996
39,val,2,118.27836437114078,206.4729801920118,70.17810599478715,120.0,32228
40,val,0,64.69906889451961,84.47637909970777,33.006290065308335,30.0,33227
40,val,1,96.20075097031179,125.40144403089283,40.93039204480512,60.0,34996
