epoch,split,bin,mae_s,rmse_s,acc_at_tau_pct,tau_s,n
1,val,0,139.11124353012252,170.17143721724517,12.628531797485149,30.0,33163
1,val,1,138.65744546365607,186.54806379150207,28.199747010119598,60.0,34784
1,val,2,318.5027978254103,412.22819266709547,22.391706079493844,120.0,31927
2,val,0,104.80033035952388,126.56710176000281,16.1264059343244,30.0,33163
2,val,1,125.67954781259434,157.56383128508492,30.091421343146273,60.0,34784
2,val,2,249.3950000623982,338.9729936248938,28.87211451122874,120.0,31927
3,val,0,72.68319593101216,89.76219206164092,23.90616048005307,30.0,33163
3,val,1,130.25547568032582,160.8305375398463,27.78001379944802,60.0,34784
3,val,2,168.39104180624696,258.3020743350168,49.35007986970276,120.0,31927
4,val,0,71.97348894746686,90.41935634230612,25.232940325061058,30.0,33163
4,val,1,118.11124785141651,146.9889459265573,29.640064397424105,60.0,34784
4,val,2,208.4854325501706,294.89626934107076,35.568640962195005,120.0,31927
5,val,0,62.80561570258788,79.07079990373055,28.872538672617072,30.0,33163
5,val,1,102.76446696038408,129.61083545501532,36.068307267709294,60.0,34784
5,val,2,166.0104717341024,259.84833826787866,50.75954521251605,120.0,31927
6,val,0,90.69314147196471,115.20318551050808,22.500980007840063,30.0,33163
6,val,1,131.1225141228726,163.1764911368408,27.627644894204234,60.0,34784
6,val,2,168.31204454662932,253.0365657834861,47.73389294327685,120.0,31927
7,val,0,59.24985561227639,74.08724822073286,31.131079817869313,30.0,33163
7,val,1,101.26429781523339,123.97217596478816,33.47803587856485,60.0,34784
7,val,2,179.27449670571121,270.5862006064032,45.344066150906755,120.0,31927
8,val,0,65.34258808483028,80.23447230729293,26.939661671139525,30.0,33163
8,val,1,102.9072741567266,126.46557726495823,32.48332566697332,60.0,34784
8,val,2,185.626070060399,276.2815221163287,43.063864440755474,120.0,31927
9,val,0,66.1291049607243,83.34987113639889,29.394204384404304,30.0,33163
9,val,1,96.09964882746243,120.12709411559335,36.81290248390064,60.0,34784
9,val,2,166.18918706088792,259.03816417264227,49.38140132176528,120.0,31927
10,val,0,66.87023205425427,82.7140326313471,26.589874257455598,30.0,33163
10,val,1,114.2542126049333,143.2403352751535,31.192502299908003,60.0,34784
10,val,2,178.0641923677941,258.28192326213104,42.53766404610518,120.0,31927
11,val,0,61.345184380465426,75.10825083936251,28.947923891083438,30.0,33163
11,val,1,83.53984128079945,106.01764757459097,43.48838546458142,60.0,34784
11,val,2,134.99649701369532,239.82431859101462,65.85022081623704,120.0,31927
12,val,0,74.7639177530187,90.67571907413425,22.71808943702319,30.0,33163
12,val,1,103.82435571412593,127.97784405439238,32.37982980680773,60.0,34784
12,val,2,167.22899871022298,257.29609665471475,48.29141478998966,120.0,31927
13,val,0,57.23334157466529,72.1421602429982,32.76543135422006,30.0,33163
13,val,1,87.34173540468049,112.68060866760344,43.451011959521615,60.0,34784
13,val,2,136.55331758410787,225.26191774926343,60.9703385848968,120.0,31927
14,val,0,67.93906160038343,85.24880671383022,28.121701896692098,30.0,33163
14,val,1,105.71267180105032,135.73665886214133,34.903978840846364,60.0,34784
14,val,2,172.138249280096,254.96586507080002,47.61173928023303,120.0,31927
15,val,0,58.37539993919711,74.34600832753164,33.338359014564425,30.0,33163
15,val,1,90.8465662572838,114.48263729696221,39.1473091076357,60.0,34784
15,val,2,141.2916974859763,238.13212387447467,60.40968459297773,120.0,31927
16,val,0,63.65652589223118,80.23737285727907,30.280734553568738,30.0,33163
16,val,1,99.80369113055302,127.23816454633389,36.47941582336707,60.0,34784
16,val,2,158.89312633452633,247.69937914469102,52.335014251260695,120.0,31927
17,val,0,57.39273165612609,72.46758118912614,33.65196152338449,30.0,33163
17,val,1,83.41189201095287,106.4827879177139,44.46584636614536,60.0,34784
17,val,2,143.3984416063525,236.13851845600453,59.228865850220814,120.0,31927
18,val,0,61.30562209634396,77.1082179285093,30.208364743841027,30.0,33163
18,val,1,97.47806302011836,125.93839552706179,38.58095676172953,60.0,34784
18,val,2,162.47827793066017,252.95357481452598,50.23960910827826,120.0,31927
19,val,0,59.34556606966678,74.20861430746459,30.714953411934985,30.0,33163
19,val,1,99.53176069917653,127.07126769020915,37.08601655933762,60.0,34784
19,val,2,150.98349989575829,242.46893303056655,55.36379866570614,120.0,31927
20,val,0,68.78475989601787,86.16369756491639,27.54274341887043,30.0,33163
20,val,1,99.22384094687482,129.2482413522034,38.62695492180313,60.0,34784
20,val,2,158.657951391064,243.75164402936548,51.61148870861653,120.0,31927
21,val,0,67.25508526303787,84.50582985583078,28.81826131532129,30.0,33163
21,val,1,95.15328402549933,120.93767887417269,38.74482520699172,60.0,34784
21,val,2,136.26279162443572,222.40477011154692,59.70495192157108,120.0,31927
22,val,0,59.003461392549916,73.51415384659707,30.844615987697132,30.0,33163
22,val,1,93.08213385728487,119.27328553439891,40.39213431462741,60.0,34784
22,val,2,137.61836183651744,229.14784638859226,60.37209885050271,120.0,31927
23,val,0,60.469911926212475,76.13710692766516,31.390404969393604,30.0,33163
23,val,1,97.18428913386677,126.35299920752485,40.04714811407544,60.0,34784
23,val,2,144.58418232871816,224.09850256071456,55.01299840260594,120.0,31927
24,val,0,66.03568457596639,81.5532403997423,27.162801917799957,30.0,33163
24,val,1,110.11255396585895,141.1533518067573,34.65098896044158,60.0,34784
24,val,2,162.6788930852022,236.43734341985504,46.390202649794844,120.0,31927
25,val,0,61.272274970116825,77.09596562685977,30.684799324548447,30.0,33163
25,val,1,107.36607779158072,139.7896768450505,35.8728150873965,60.0,34784
25,val,2,173.25332403498118,255.6942536307281,47.07301030475773,120.0,31927
