epoch,split,loss,lb,val_MSE,val_secMAE,val_secRMSE,router_entropy,router_max_share,target_key
1,train,0.6743858307600021,2.09776309132576,,,,1.762593322330051,0.26535760176678497,y_log_z
1,val,,,0.8244273384472258,254.3793893835676,325.155415829585536,,,y_log_z
2,train,0.5795052047404978,2.2770149608453116,,,,1.7079261077774897,0.3254864886403084,y_log_z
2,val,,,0.5778787666073308,187.43439140258684,250.227180781925966,,,y_log_z
3,train,0.4748220141563151,2.230541846818394,,,,1.6133234467771318,0.283078214360608,y_log_z
3,val,,,0.5177177476859318,188.15701525961663,252.813182056883676,,,y_log_z
4,train,0.3897383337219556,2.2099507649739585,,,,1.4862829662031598,0.2557458244264126,y_log_z
4,val,,,0.6740851544749452,245.29246500625928,311.614364623146685,,,y_log_z
5,train,0.3329507747872008,2.141401469707489,,,,1.4822398275136948,0.2450706904961003,y_log_z
5,val,,,0.7775491006168982,235.31491158469055,282.364249814687810,,,y_log_z
6,train,0.29748956569366986,2.1062045925193362,,,,1.4865130500661001,0.23415971154140103,y_log_z
6,val,,,0.8424122266683441,245.2573249819097,311.282075553041068,,,y_log_z
7,train,0.27830489600698155,2.0778909027576447,,,,1.486639027794202,0.21982723909119764,y_log_z
7,val,,,0.9034934270197953,245.62799728303477,306.049358566162141,,,y_log_z
8,train,0.2707059650371472,2.1049881312582226,,,,1.4781070947647095,0.23937023555239043,y_log_z
8,val,,,0.9210627533078509,236.36326357580438,295.521114094643281,,,y_log_z
9,train,0.2589199398126867,2.0758220735523434,,,,1.507672291662958,0.22028559777471754,y_log_z
9,val,,,1.20567915222849,331.98385295986975,392.636834702056149,,,y_log_z
10,train,0.25776825762457317,2.089529040786955,,,,1.4962162292665906,0.23079169086284107,y_log_z
10,val,,,1.2518566077307756,342.3710358276361,406.093955673229516,,,y_log_z
11,train,0.272131134238508,2.1391998993025885,,,,1.4831702874766455,0.24630073685612944,y_log_z
11,val,,,1.3441252865069997,412.3089967566587,491.141213777577605,,,y_log_z
12,train,0.29246158380475307,2.213982570502493,,,,1.3404959729976125,0.25194818071193165,y_log_z
12,val,,,1.2397872193317305,343.38448505443574,403.989763475347445,,,y_log_z
13,train,0.29559686138398117,2.1660245060920715,,,,1.3323624895678625,0.2388370552410682,y_log_z
13,val,,,1.0002626220949775,265.5973698366461,321.714894962535425,,,y_log_z
14,train,0.28182150423526764,2.1367121934890747,,,,1.3131702724430296,0.23009269705249202,y_log_z
14,val,,,0.9779835412826026,254.9492222109536,325.222665473063330,,,y_log_z
15,train,0.27399439613024396,2.111374600066079,,,,1.3368715395530064,0.25046078239878017,y_log_z
15,val,,,0.9214831832659304,277.7031908553362,338.927805882348650,,,y_log_z
16,train,0.2829031383411752,2.2076837950282626,,,,1.1862756527132459,0.2410007023976909,y_log_z
16,val,,,0.7148709627133399,223.12652859432086,284.618127153030287,,,y_log_z
17,train,0.2542363682554828,2.0953775544961295,,,,1.2123947706487443,0.2195676883889569,y_log_z
17,val,,,0.5042240802655581,148.7730194829133,202.605277165297167,,,y_log_z
18,train,0.24615272362199095,2.1476146976153054,,,,1.1826229277584288,0.22456823599835238,y_log_z
