epoch,split,bin,mae_s,rmse_s,acc_at_tau_pct,tau_s,n
1,val,0,230.4227917819563,252.02736380066503,2.3173924820176364,30.0,33227
1,val,1,103.2986641135103,127.03119468660265,34.498228368956454,60.0,34996
1,val,2,443.13534390223566,496.514267848106,1.2908030284224898,120.0,32228
2,val,0,160.52273357968951,191.39523304576352,10.250699732145545,30.0,33227
2,val,1,128.50412181593074,158.28792279902163,27.846039547376844,60.0,34996
2,val,2,279.17192990664176,360.81148662662855,24.829340945761448,120.0,32228
3,val,0,124.1812007574671,156.6243507502775,14.659764649231047,30.0,33227
3,val,1,170.0438489845268,212.3017706535602,20.259458223797004,60.0,34996
3,val,2,273.78481620456205,353.52429637209923,27.404741218815936,120.0,32228
4,val,0,221.6193846774531,270.6151616895498,7.620308785024227,30.0,33227
4,val,1,270.0061999273131,347.1515280663785,17.519145045148015,60.0,34996
4,val,2,242.86300750463494,310.3111981130418,32.67345165694427,120.0,32228
5,val,0,265.8723403389234,305.7811595307401,5.010985042284888,30.0,33227
5,val,1,235.0499416172116,271.5998707899573,11.012687164247343,60.0,34996
5,val,2,204.09798856850992,268.3381052607903,34.34591038848207,120.0,32228
6,val,0,292.28181401355874,351.6148252515264,6.825774219761039,30.0,33227
6,val,1,209.6606390897799,266.33324016120207,19.562235684078182,60.0,34996
6,val,2,235.42919303720754,312.288906120151,32.11182822390468,120.0,32228
7,val,0,307.81754708408494,350.0206271263422,4.9688506335209315,30.0,33227
7,val,1,202.25787916498493,244.59920457956895,17.256257858040918,60.0,34996
7,val,2,228.60579447789482,317.2812895018544,32.43142608911506,120.0,32228
8,val,0,328.26115705830114,361.14153741063825,2.7387365696572066,30.0,33227
8,val,1,176.46206338202043,214.39277452657353,20.01371585324037,60.0,34996
8,val,2,206.6627313624071,296.35798908154453,37.67531339208142,120.0,32228
9,val,0,450.5168133660831,479.54281225702414,1.432569897974539,30.0,33227
9,val,1,274.5804425779241,321.68847127373766,11.30700651503029,60.0,34996
9,val,2,272.1102859593657,362.00763601213026,31.190269331016506,120.0,32228
10,val,0,501.2605690693351,533.8913108921919,1.5830499292743851,30.0,33227
10,val,1,276.79663602179534,314.0062481268918,8.906732197965482,60.0,34996
10,val,2,249.7627103724343,336.2570211784487,32.5214099540772,120.0,32228
11,val,0,565.0497872808987,622.622662742924,1.7064435549402597,30.0,33227
11,val,1,348.85492115672594,423.335311023568,9.85255457766602,60.0,34996
11,val,2,323.737601068219,396.95547994929933,20.441851805883083,120.0,32228
12,val,0,486.6818903204543,522.1896683286614,1.3182050741866556,30.0,33227
