epoch,split,bin,mae_s,rmse_s,acc_at_tau_pct,tau_s,n
1,val,0,255.1555540886365,285.2908186225015,2.62738134649532,30.0,33227
1,val,1,109.35179642740421,134.5017077122082,33.49239913132929,60.0,34996
1,val,2,338.19014630620114,413.5629783190435,15.99230482809979,120.0,32228
2,val,0,262.5298099031614,293.1847117268519,3.322599091100611,30.0,33227
2,val,1,152.72420390176288,200.9282300253703,26.411589895988115,60.0,34996
2,val,2,283.1642010998782,357.69489007567324,24.19324810723594,120.0,32228
3,val,0,205.8742659395973,257.51780154126817,6.103470069521774,30.0,33227
3,val,1,136.8085104117926,180.757661481865,30.912104240484627,60.0,34996
3,val,2,266.0094260340872,347.0232138289058,25.695047784535184,120.0,32228
4,val,0,139.17450549087528,160.93685175007747,9.221416318054594,30.0,33227
4,val,1,112.45584558157093,144.4196956486758,33.94102183106641,60.0,34996
4,val,2,192.1841044847939,278.46007501845213,42.869554424723844,120.0,32228
5,val,0,162.9850403891931,192.6718850180124,8.90239865169892,30.0,33227
5,val,1,123.12988632852684,151.16884904056135,28.086066979083324,60.0,34996
5,val,2,165.24307570280502,255.67328037969025,52.03859997517687,120.0,32228
6,val,0,197.273474708539,244.42419772390826,10.425256568453365,30.0,33227
6,val,1,168.49209108831187,204.6905520894168,20.725225740084582,60.0,34996
6,val,2,202.7201518617109,282.49888866138474,38.748913987836666,120.0,32228
7,val,0,240.5718728633011,295.6913950941732,9.356848346224456,30.0,33227
7,val,1,176.19732202095418,216.3815630876146,22.30254886272717,60.0,34996
7,val,2,193.4583947800874,279.97647128514944,40.46481320590791,120.0,32228
8,val,0,204.44085793838596,242.67211688139372,8.279411322117555,30.0,33227
8,val,1,150.81367348790755,185.22908818814793,23.902731740770374,60.0,34996
8,val,2,229.1906645103588,331.33960538766684,37.07645525629887,120.0,32228
9,val,0,251.24719329759589,301.0310036943406,6.882956631654979,30.0,33227
9,val,1,150.72106150859204,186.3719475278479,24.25705794947994,60.0,34996
9,val,2,232.86293653810353,328.48391212698755,34.78652103760705,120.0,32228
10,val,0,406.68180054677157,449.84612877347985,2.7026213621452433,30.0,33227
10,val,1,218.6560603438384,259.2795232526754,14.79883415247457,60.0,34996
10,val,2,229.21259021415773,307.0770427853559,34.80513838897853,120.0,32228
