epoch,split,bin,mae_s,rmse_s,acc_at_tau_pct,tau_s,n
1,val,0,185.63696941321325,218.30454304688942,7.469167445647258,30.0,33163
1,val,1,137.73353740197317,201.82402298739223,32.32520699172033,60.0,34784
1,val,2,310.14071982080213,416.1420942986772,26.25677326400852,120.0,31927
2,val,0,81.6088522101356,102.9723365644705,21.183246389048037,30.0,33163
2,val,1,146.08898214780638,190.662830402088,26.144204231830727,60.0,34784
2,val,2,272.04550656759466,365.33530784286177,29.310614840103987,120.0,31927
3,val,0,78.79506301247226,94.09997188220055,19.871543587733317,30.0,33163
3,val,1,89.01986635027397,113.68411044780176,42.37005519779209,60.0,34784
3,val,2,171.09113223088144,263.46625305300836,50.00156607260312,120.0,31927
4,val,0,84.62826418364051,106.55988292744837,22.238639447577118,30.0,33163
4,val,1,109.87717929759373,140.57540625100816,33.61603035878565,60.0,34784
4,val,2,201.30703307606512,290.965864123575,38.83860055752184,120.0,31927
5,val,0,46.19308713055943,57.148863856133566,38.298706389651116,30.0,33163
5,val,1,101.69973868235823,124.91661409193438,34.51874425022999,60.0,34784
5,val,2,244.23260801435208,324.3991087397486,25.874651548845804,120.0,31927
6,val,0,40.160746807421276,50.403927684810256,44.91149775352049,30.0,33163
6,val,1,100.19301387993919,122.24224591107351,33.49241030358785,60.0,34784
6,val,2,223.40207529242736,310.5579600757092,32.320606383311926,120.0,31927
7,val,0,44.62388427852164,55.47794442139891,39.797364532762415,30.0,33163
7,val,1,89.46839531737945,111.29450949905761,40.02989880404784,60.0,34784
7,val,2,179.26999945829795,274.69098144485815,46.74100291289504,120.0,31927
8,val,0,46.549235731551114,59.47677473426494,40.82260350390495,30.0,33163
8,val,1,91.07387329705176,111.95285902968783,38.046228150873965,60.0,34784
8,val,2,180.0913254473829,268.08153138709775,44.883640805587746,120.0,31927
9,val,0,42.903542227736864,55.06573572451391,44.14256852516358,30.0,33163
9,val,1,94.46753406612393,117.8965828009576,37.94273229070837,60.0,34784
9,val,2,154.70597310719938,248.16976576546386,54.48679800795565,120.0,31927
10,val,0,43.60564967636478,54.60165459948922,41.724210716762656,30.0,33163
10,val,1,83.70662285454688,105.11173750967107,43.47688592456302,60.0,34784
10,val,2,171.9706189371273,264.96530278799014,48.413568453033484,120.0,31927
11,val,0,47.988941356542874,60.812116009689205,39.34806863070289,30.0,33163
11,val,1,96.20825160920565,118.69325860391584,36.315547378104874,60.0,34784
11,val,2,171.92360648902184,259.88307957459386,47.104331756820244,120.0,31927
12,val,0,58.59237154005405,73.2110876819895,31.351204655791094,30.0,33163
12,val,1,97.56354513931625,120.19404862238525,35.78656853725851,60.0,34784
12,val,2,156.290102351562,245.52349406644063,53.15563629529865,120.0,31927
13,val,0,40.283831450489345,51.945516408824524,46.82326689382746,30.0,33163
13,val,1,87.42180835685274,108.0252080984604,39.79990800367985,60.0,34784
13,val,2,148.30607700709334,243.40657557063633,57.863250540295056,120.0,31927
14,val,0,38.83061195946148,49.98877797127918,48.40334107288243,30.0,33163
14,val,1,83.7117479441905,105.71678177319843,43.7471251149954,60.0,34784
14,val,2,152.96794320879346,246.23752938793814,55.84614902746892,120.0,31927
15,val,0,55.894435529545234,74.34559955542737,36.25425926484335,30.0,33163
15,val,1,97.95187582175669,123.21461413545818,37.14063937442502,60.0,34784
15,val,2,148.23170458621914,235.59037594113528,56.12804209603157,120.0,31927
16,val,0,41.9867647243086,53.89256019802967,44.11844525525435,30.0,33163
16,val,1,91.1789876065785,114.39366726114719,39.51241950321987,60.0,34784
16,val,2,144.57897158153267,234.3685048525263,57.440410937451055,120.0,31927
17,val,0,46.42294608481567,58.861116279046094,39.69182522690951,30.0,33163
